,OSM,Reference
Count of matched edges,2589.0,4313.0
Percent matched edges,45.62918575960522,91.66843783209352
Length of matched edges (km),422.77540194162134,603.1680016480673
Percent of matched network length,52.01212969077854,96.27954728055185
Local min of % matched edges,4.0,
Local max of % matched edges,100.0,
Local average of % matched edges,61.874570076923,
Local (cell) min of % matched edges,,12.5
Local (cell) max of % matched edges,,100.0
Local (cell) average of % matched edges,,95.02149547285879
